,feature,unique_vals
333,abs_TBK_temp. average_[ni]_[0_0.29]_[mean],47
334,abs_TBK_temp. average_[ni]_[0_0.29]_[tg],808
335,abs_TBK_temp. average_[ni]_[0_0.29]_[std],52
336,abs_TBK_temp. max_[ni]_[0_0.29]_[max],13
337,abs_TBK_temp. max_[ni]_[0_0.29]_[min],5
338,abs_TBK_temp. max_[ni]_[0_0.29]_[median],8
339,abs_TBK_temp. max_[ni]_[0_0.29]_[mean],67
340,abs_TBK_temp. max_[ni]_[0_0.29]_[tg],837
341,abs_TBK_temp. max_[ni]_[0_0.29]_[std],88
342,TBK_temp. average_[ni]_[0.29_1]_[max],64
343,TBK_temp. average_[ni]_[0.29_1]_[min],10
344,TBK_temp. average_[ni]_[0.29_1]_[median],39
345,TBK_temp. average_[ni]_[0.29_1]_[mean],390
346,TBK_temp. average_[ni]_[0.29_1]_[tg],898
347,TBK_temp. average_[ni]_[0.29_1]_[std],414
348,TBK_temp. max_[ni]_[0.29_1]_[max],63
349,TBK_temp. max_[ni]_[0.29_1]_[min],14
350,TBK_temp. max_[ni]_[0.29_1]_[median],46
351,TBK_temp. max_[ni]_[0.29_1]_[mean],413
352,TBK_temp. max_[ni]_[0.29_1]_[tg],888
353,TBK_temp. max_[ni]_[0.29_1]_[std],423
354,abs_TBK_temp. average_[ni]_[0.29_1]_[max],64
355,abs_TBK_temp. average_[ni]_[0.29_1]_[min],10
356,abs_TBK_temp. average_[ni]_[0.29_1]_[median],39
357,abs_TBK_temp. average_[ni]_[0.29_1]_[mean],390
358,abs_TBK_temp. average_[ni]_[0.29_1]_[tg],898
359,abs_TBK_temp. average_[ni]_[0.29_1]_[std],414
360,abs_TBK_temp. max_[ni]_[0.29_1]_[max],63
361,abs_TBK_temp. max_[ni]_[0.29_1]_[min],14
362,abs_TBK_temp. max_[ni]_[0.29_1]_[median],46
363,abs_TBK_temp. max_[ni]_[0.29_1]_[mean],413
364,abs_TBK_temp. max_[ni]_[0.29_1]_[tg],888
365,abs_TBK_temp. max_[ni]_[0.29_1]_[std],423
366,TBK_temp. average_[ni]_[1_5.5]_[max],109
367,TBK_temp. average_[ni]_[1_5.5]_[min],64
368,TBK_temp. average_[ni]_[1_5.5]_[median],63
369,TBK_temp. average_[ni]_[1_5.5]_[mean],480
370,TBK_temp. average_[ni]_[1_5.5]_[tg],1398
371,TBK_temp. average_[ni]_[1_5.5]_[std],482
372,TBK_temp. max_[ni]_[1_5.5]_[max],105
373,TBK_temp. max_[ni]_[1_5.5]_[min],62
374,TBK_temp. max_[ni]_[1_5.5]_[median],58
375,TBK_temp. max_[ni]_[1_5.5]_[mean],480
376,TBK_temp. max_[ni]_[1_5.5]_[tg],1351
377,TBK_temp. max_[ni]_[1_5.5]_[std],482
378,abs_TBK_temp. average_[ni]_[1_5.5]_[max],109
379,abs_TBK_temp. average_[ni]_[1_5.5]_[min],64
380,abs_TBK_temp. average_[ni]_[1_5.5]_[median],63
381,abs_TBK_temp. average_[ni]_[1_5.5]_[mean],480
382,abs_TBK_temp. average_[ni]_[1_5.5]_[tg],1398
383,abs_TBK_temp. average_[ni]_[1_5.5]_[std],482
384,abs_TBK_temp. max_[ni]_[1_5.5]_[max],105
385,abs_TBK_temp. max_[ni]_[1_5.5]_[min],62
386,abs_TBK_temp. max_[ni]_[1_5.5]_[median],58
387,abs_TBK_temp. max_[ni]_[1_5.5]_[mean],480
388,abs_TBK_temp. max_[ni]_[1_5.5]_[tg],1351
389,abs_TBK_temp. max_[ni]_[1_5.5]_[std],482
390,TBK_temp. average_[ni]_[5.5_6.6]_[max],140
391,TBK_temp. average_[ni]_[5.5_6.6]_[min],110
392,TBK_temp. average_[ni]_[5.5_6.6]_[median],128
393,TBK_temp. average_[ni]_[5.5_6.6]_[mean],299
394,TBK_temp. average_[ni]_[5.5_6.6]_[tg],483
395,TBK_temp. average_[ni]_[5.5_6.6]_[std],195
396,TBK_temp. max_[ni]_[5.5_6.6]_[max],136
397,TBK_temp. max_[ni]_[5.5_6.6]_[min],105
398,TBK_temp. max_[ni]_[5.5_6.6]_[median],123
399,TBK_temp. max_[ni]_[5.5_6.6]_[mean],295
